date_created,contacts_n,contacts_n_1,contacts_n_2,contacts_n_3,contacts_n_4,contacts_n_5,contacts_n_6,contacts_n_7,new_type,new_market
2022-02-17,9,3,1,null,2,2,null,2,type_3,market_3
2022-01-04,8,3,3,null,null,null,null,1,type_3,market_3
2022-03-16,27,3,2,2,null,null,null,1,type_2,market_3
2022-01-23,9,null,null,null,null,null,1,1,type_2,market_3
2022-02-06,2,null,null,null,null,null,null,null,type_4,market_3
2022-03-16,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-13,8,3,5,null,2,null,null,null,type_3,market_3
2022-02-09,27,1,2,null,3,1,null,null,type_2,market_3
2022-03-30,33,2,2,1,1,null,null,null,type_2,market_3
2022-02-11,18,5,10,4,5,5,5,3,type_1,market_3
2022-03-02,33,3,1,2,null,null,2,3,type_2,market_3
2022-03-22,110,15,11,8,1,null,3,2,type_5,market_3
2022-01-30,17,null,null,null,null,null,null,1,type_2,market_3
2022-03-12,null,null,1,null,null,null,null,null,type_4,market_3
2022-03-05,3,null,1,null,1,null,null,null,type_3,market_3
2022-01-07,31,null,null,null,null,null,1,null,type_2,market_3
2022-02-07,30,null,null,4,2,1,2,1,type_2,market_3
2022-01-05,12,3,0,1,0,1,0,0,type_1,market_3
2022-02-03,58,20,2,1,4,6,1,1,type_5,market_3
2022-01-04,7,0,4,0,0,0,0,0,type_1,market_3
2022-01-27,36,4,null,3,null,2,null,1,type_2,market_3
2022-01-20,null,null,null,null,null,null,null,null,type_4,market_3
2022-03-27,44,13,2,1,7,1,2,1,type_5,market_3
2022-01-28,14,4,6,9,9,4,4,4,type_1,market_3
2022-02-02,72,6,8,1,2,9,6,1,type_5,market_3
2022-01-27,10,3,null,null,2,null,null,null,type_3,market_3
2022-01-24,153,14,4,4,10,4,null,4,type_5,market_3
2022-01-13,2,null,null,null,null,null,null,null,type_4,market_3
2022-02-15,18,2,1,1,1,null,null,2,type_3,market_3
2022-02-12,9,null,5,null,null,2,2,1,type_3,market_3
2022-03-22,13,5,4,4,1,null,4,1,type_3,market_3
2022-01-03,46,1,3,2,null,null,null,null,type_2,market_3
2022-03-13,21,null,null,null,3,null,null,null,type_2,market_3
2022-01-15,4,null,null,2,null,null,null,null,type_3,market_3
2022-01-11,null,null,null,null,null,null,null,null,type_4,market_3
2022-01-25,26,null,2,2,1,1,2,null,type_2,market_3
2022-02-22,227,69,5,2,1,1,null,1,type_5,market_3
2022-02-08,10,2,1,2,2,null,4,3,type_3,market_3
2022-02-16,41,4,3,null,null,2,3,1,type_2,market_3
2022-02-14,40,1,1,1,2,1,null,1,type_2,market_3
2022-01-13,190,15,3,2,2,3,7,5,type_5,market_3
2022-01-15,20,1,null,null,2,1,null,null,type_2,market_3
2022-03-01,42,1,2,2,2,null,1,null,type_2,market_3
2022-02-17,34,3,1,1,4,2,1,3,type_2,market_3
